# Delays	Number of gates	Number of optimal gates	Difference
11.618705036	23	20	3
11.7575757576	49	44	5
9.09863013699	58	53	5
19.9568345324	24	21	3
8.57211538462	123	106	17
10.2257425743	70	60	10
24.8631790744	69	60	9
13.8785714286	23	19	4
12.8070175439	18	15	3
32.7074829932	26	22	4
15.9038984587	160	142	18
14.9844559585	31	26	5
9.98095238095	37	34	3
10.2532188841	42	37	5
11.5945399393	246	212	34
13.1959798995	28	24	4
7.39716312057	83	78	5
10.1325966851	50	43	7
11.5136363636	34	30	4
12.8298319328	61	53	8
12.6012269939	27	23	4
14.4337899543	35	33	2
26.1793478261	54	46	8
25.89958159	70	57	13
12.3333333333	29	25	4
8.31060606061	24	21	3
10.0738031915	180	155	25
19.7545454545	17	16	1
14.8457831325	66	56	10
11.9338624339	64	59	5
9.76875	67	57	10
12.6182618262	123	104	19
11.4628975265	55	53	2
7.47465437788	32	29	3
7.01652892562	18	17	1
10.3055555556	17	17	0
9.49137931034	19	16	3
23.1296296296	21	18	3
8.36476426799	55	49	6
7.49783549784	29	26	3
7.38095238095	31	27	4
10.0683760684	19	17	2
10.0473421927	154	132	22
10.8864864865	30	26	4
8.800330033	80	69	11
9.63677130045	32	29	3
10.2356687898	46	40	6
9.07692307692	45	41	4
12.013185288	179	148	31
9.00568181818	27	23	4
10.0981067126	81	71	10
9.83826879271	104	89	15
9.8433048433	51	46	5
9.27260273973	91	77	14
16.8246346555	61	53	8
20.8076923077	94	74	20
7.1512605042	29	25	4
9.26277372263	72	59	13
13.9801324503	24	20	4
6.53216374269	46	44	2
9.11166253102	60	51	9
16.8219178082	24	21	3
7.3625	122	103	19
10.3923205342	74	64	10
8.79833679834	66	60	6
16.6672413793	78	66	12
12.3885350318	25	22	3
8.62601626016	19	17	2
30.4492753623	24	20	4
14.0734323432	178	153	25
7.63063063063	33	32	1
21.7787610619	18	15	3
13.5565217391	41	36	5
7.90169491525	42	36	6
10.3248803828	243	213	30
10.1422222222	30	25	5
8.36130136986	84	76	8
7.1364764268	52	44	8
10.0772357724	33	28	5
9.79684418146	68	60	8
8.40322580645	27	24	3
11.1277372263	42	39	3
5.50847457627	19	19	0
11.951171875	72	68	4
9.47186147186	28	27	1
10.0827586207	22	21	1
11.1545396008	186	160	26
13.5135135135	19	16	3
14.5166666667	19	17	2
12.2439678284	53	48	5
8.13513513514	66	60	6
9.21722846442	75	67	8
16.1340839304	137	104	33
12.6229508197	52	49	3
8.38095238095	32	29	3
7.11666666667	20	19	1
14.6545454545	18	16	2
18.7980769231	19	18	1
9.31398416887	56	49	7
6.6563876652	31	29	2
6.83253588517	28	24	4
12.7037037037	18	17	1
11.6546572935	144	121	23
10.6228571429	26	25	1
7.71428571429	79	65	14
10.3891625616	30	24	6
12.8859060403	46	39	7
8.45945945946	40	36	4
14.3787878788	170	135	35
17.04	30	26	4
11.1306715064	80	68	12
12.5291970803	107	88	19
12.6952662722	49	42	7
9.70948905109	88	78	10
8.97592997812	56	49	7
10.2292020374	77	65	12
14.7522123894	26	23	3
16.2007722008	71	62	9
15.5486111111	21	18	3
7.2573964497	44	40	4
15.0313315927	57	51	6
21.0148148148	20	18	2
9.38392857143	117	102	15
9.19591141397	73	62	11
11.0281385281	67	62	5
12.9205175601	73	63	10
9.33566433566	23	18	5
11.1610169492	17	16	1
26.5757575758	22	19	3
14.9496676163	166	146	20
6.45238095238	32	32	0
8.71153846154	16	15	1
10.9351851852	39	33	6
9.8202247191	36	31	5
8.42814070352	234	204	30
10.4741784038	31	25	6
8.62383612663	79	74	5
8.06940874036	51	47	4
9.06306306306	32	30	2
10.5210084034	68	59	9
8.89142857143	25	21	4
7.4	38	34	4
5.80530973451	19	19	0
14.106918239	66	56	10
12.1198156682	30	26	4
8.79856115108	21	19	2
11.1082337317	175	157	18
13.2735849057	18	16	2
10.6956521739	18	15	3
12.3447293447	49	43	6
9.59831460674	50	45	5
9.92682926829	72	64	8
10.1391509434	114	97	17
12.9233449477	53	51	2
8.77625570776	31	26	5
24.0081300813	19	18	1
6.48181818182	17	15	2
6.23076923077	20	17	3
6.89033942559	53	44	9
5.6592920354	29	27	2
6.27027027027	31	26	5
7.50909090909	16	14	2
10.8295053004	153	125	28
10.5813953488	28	24	4
12.3448275862	83	68	15
12.985645933	35	29	6
16.2025316456	50	43	7
8.1897810219	42	37	5
15.1168649405	186	151	35
13.3276836158	30	26	4
14.8591800357	79	67	12
10.514084507	103	87	16
18.6907514451	48	42	6
14.3926174497	80	70	10
11.863340564	58	50	8
37.722614841	84	73	11
16.4612068966	29	25	4
12.9553903346	74	63	11
23.2965517241	26	23	3
11.9537572254	48	42	6
17.4974874372	68	63	5
28.1901408451	22	21	1
8.93981481481	118	99	19
8.70503597122	86	74	12
15.3382663848	69	59	10
13.3774954628	72	60	12
14.3202614379	23	21	2
27.5966386555	22	18	4
34.8582089552	24	21	3
12.6998158379	166	145	21
7.51162790698	33	31	2
16.1132075472	16	15	1
17.3796296296	39	34	5
11.852398524	41	35	6
10.94417238	243	208	35
8.10599078341	28	25	3
8.74354243542	82	76	6
13.7345360825	55	47	8
13.6764705882	36	33	3
8.44855967078	64	56	8
9.65168539326	29	28	1
10.7490636704	40	35	5
4.40677966102	20	19	1
21.5452631579	66	57	9
8.81777777778	29	25	4
18.020979021	24	20	4
8.71739130435	177	155	22
8.97321428571	17	15	2
20.6525423729	21	19	2
21.4175824176	60	48	12
14.3424036281	69	64	5
12.3046875	73	60	13
11.323798627	118	103	15
25.5429553265	52	49	3
9.88986784141	34	31	3
12.0081300813	18	16	2
18.91	17	16	1
12.4137931034	19	17	2
21.4272727273	20	19	1
11.5036855037	56	49	7
10.5341880342	31	25	6
9.88938053097	32	27	5
14.5196078431	16	15	1
18.2033195021	158	138	20
16.2717391304	30	26	4
10.4218289086	81	67	14
12.8973214286	34	30	4
23.1128526646	53	47	6
11.8626760563	41	36	5
24.7132459971	200	158	42
14.8369565217	28	24	4
13.352739726	83	71	12
16.1223581758	114	91	23
15.0702247191	52	45	7
25.3614864865	86	68	18
15.4	60	53	7
20.9609375	89	72	17
8.49579831933	30	26	4
13.05	75	66	9
18.4248366013	25	20	5
11.0057636888	47	43	4
13.3014705882	60	55	5
28.7074829932	23	21	2
10.1291053228	120	103	17
12.0732700136	92	75	17
14.3381443299	70	62	8
16.9008547009	81	68	13
9.73291925466	25	20	5
15.6290322581	18	16	2
20.4347826087	22	20	2
18.3821070234	175	155	20
8.27232142857	32	32	0
10.7256637168	17	16	1
19.2969432314	42	34	8
18.381443299	44	37	7
14.6436726927	254	214	40
12.3114035088	29	26	3
12.8116438356	85	75	10
13.1474201474	56	47	9
18.1336032389	38	32	6
14.4514851485	68	58	10
11.9946236559	28	26	2
13.8905109489	40	34	6
10.813559322	19	19	0
15.4186046512	72	63	9
11.8412017167	29	25	4
22.387755102	24	20	4
12.1959896507	183	162	21
10.7787610619	17	16	1
15.8983050847	19	16	3
16.3607427056	55	42	13
18.155210643	71	64	7
22.6996197719	77	69	8
14.0232088799	126	106	20
19.2671009772	53	49	4
18.5775862069	34	29	5
14.8951612903	19	18	1
16.1568627451	17	14	3
15.8125	21	16	5
20.7796610169	21	20	1
12.5514705882	56	48	8
13.9568965517	32	28	4
10.8836206897	31	28	3
11.8547008547	18	16	2
14.7329498767	156	130	26
17.7923497268	31	28	3
10.0516224189	78	67	11
12.1919642857	32	29	3
18.1588785047	52	46	6
14.3249097473	39	35	4
22.7341411262	191	153	38
9.88888888889	26	24	2
11.7696245734	83	71	12
11.140954495	107	88	19
12.2067039106	53	45	8
10.9033333333	73	62	11
14.2520661157	60	55	5
23.7320574163	90	72	18
7.35433070866	30	26	4
8.53610108303	71	62	9
16.4805194805	24	22	2
12.5775862069	47	41	6
11.5343137255	58	53	5
13.6054421769	24	21	3
12.7820224719	123	111	12
13.3044058745	91	76	15
18.0473251029	68	59	9
12.3157894737	77	64	13
13.487654321	25	21	4
16.1349206349	20	16	4
30.5285714286	25	20	5
