# Delays	Number of gate collisions
9.26086956522	14
11.6658986175	24
9.3	24
10.6234567901	15
10.6153846154	32
9.72131147541	21
8.05732484076	15
13.5691489362	78
27.7488687783	85
6.96052631579	6
10.1489191353	270
16.3134715026	57
15.3105590062	53
18.1671232877	51
12.6096997691	138
11.9470404984	52
15.0222841226	236
13.628959276	31
17.4944444444	49
13.0909090909	8
23.2037037037	24
19.2767857143	2
14.9122340426	57
11.7055837563	29
9.93401015228	32
19.4752475248	17
16.3776041667	285
19.3333333333	35
14.137755102	132
14.8473684211	55
16.4578754579	93
17.3970037453	23
26.4347079038	661
16.0171428571	37
15.2677029361	71
11.3333333333	181
12.0726744186	39
14.887755102	53
12.5239085239	76
18.1514018692	175
15.0085106383	23
16.979338843	161
14.4485294118	22
11.9037800687	30
19.3571428571	86
22.2323943662	28
12.1041162228	78
12.0223463687	121
14.1634146341	146
18.0557768924	114
12.2101449275	17
8.57547169811	10
11.7430555556	10
36.7952755906	120
20.89	26
21.1034482759	35
17.3568281938	77
12.9979705733	574
12.1256281407	55
17.4334532374	57
13.7303370787	102
15.3188405797	47
16.6745182013	53
14.0552147239	23
13.3333333333	37
8.17	16
23.7328094303	81
10.8578680203	27
22.671875	41
10.7753623188	401
10.5377358491	7
17.5276679842	184
12.8991825613	61
15.7032967033	193
21.8063157895	169
10.8213507625	191
14.1302816901	39
10.1203703704	32
29.7	11
20.4455445545	25
16.5225225225	14
20.4018691589	4
12.9546599496	32
10.9815668203	5
9.56086956522	6
25.9724770642	29
13.2283333333	126
20.4320987654	36
12.2369747899	95
11.6186046512	30
12.1578947368	48
17.0494699647	24
21.7852049911	518
13.3197674419	37
12.3425605536	102
19.4885844749	198
10.5523255814	50
12.9910714286	34
10.6855345912	65
29.5869918699	177
6.53191489362	14
18.9118198874	181
28.306122449	58
11.7915407855	48
12.1809045226	50
20.4246575342	23
10.2568807339	108
15.5546334716	241
11.6778947368	40
11.215034965	44
10.6887417219	19
9.80172413793	2
10.8914728682	16
13.1732954545	78
14.1682242991	13
18.2142857143	13
15.688172043	43
12.7374274662	474
13.5837104072	54
12.8812392427	61
12.1212121212	74
17.5434782609	67
15.2248995984	39
12.5524861878	28
12.2767527675	21
15.7272727273	247
17.1996086106	77
12.9527896996	35
19.9338235294	25
12.235483871	384
12.5585585586	2
9.77586206897	14
14.4247787611	148
10.9653333333	56
25.9666958808	349
18.5620155039	115
7.46551724138	0
16.133105802	49
14.3783783784	40
9.73529411765	4
8.46153846154	4
21.7564469914	100
10.0228310502	29
9.20574162679	10
13.089047195	159
9.27338129496	8
8.30652173913	45
14.1617647059	10
13.507751938	39
9.81609195402	16
19.9685658153	534
13.175	28
13.568359375	74
13.9517923362	148
13.0697674419	22
14.3320683112	127
9.3475	27
7.87837837838	15
15.9630390144	105
11.592920354	9
19.1464646465	41
9.9297752809	14
