# Delays	Number of extra gates	Number of optimal extra gates	Difference
27.3953488372	8	5	3
28.1418439716	10	1	9
34.2200956938	18	-8	26
23.6081871345	8	2	6
26.4039548023	20	2	18
19.642384106	8	0	8
36.3026548673	23	11	12
6.47881355932	2	-3	5
18.2736030829	6	-2	8
30.309352518	4	0	4
22.6763848397	12	8	4
15.835443038	11	4	7
32.3237410072	5	2	3
18.034965035	18	-10	28
29.0818505338	22	7	15
24.6877637131	11	1	10
19.2752293578	10	1	9
17.3933333333	3	-1	4
30.8245614035	2	0	2
56.6971830986	5	2	3
22.4516728625	19	0	19
16.7836538462	2	0	2
27.568627451	6	3	3
31.5621301775	4	-1	5
24.6339622642	8	5	3
25.6343545957	54	-2	56
31.5070422535	8	2	6
20.573800738	9	-2	11
14.7012658228	7	0	7
24.2913043478	10	3	7
14.6045548654	6	-4	10
24.9885057471	7	3	4
25.0676691729	5	0	5
22.5178571429	1	0	1
32.6618852459	12	1	11
22.09375	5	2	3
25.9440559441	7	1	6
19.2864792503	41	16	25
17.5044247788	1	-1	2
25.4594594595	2	-1	3
29.7972222222	13	3	10
25.6120092379	13	7	6
30.7306843267	15	1	14
25.8269689737	23	5	18
50.8953488372	9	4	5
18.9821428571	5	0	5
31.0	2	2	0
25.3518518519	4	1	3
22.7857142857	0	-2	2
15.0544554455	5	-8	13
17.3086956522	3	-1	4
15.9642857143	3	-4	7
18.5272727273	3	2	1
21.1898110107	15	-14	29
20.1186440678	5	-2	7
11.5465288035	9	-3	12
25.520361991	5	1	4
23.0996784566	9	-1	10
23.2283737024	4	-1	5
32.4009360374	34	0	34
19.347826087	6	2	4
22.558573854	10	-2	12
29.0391061453	24	-2	26
16.2281690141	7	0	7
22.6791946309	26	7	19
11.2510373444	4	-2	6
23.5264	15	-1	16
11.347107438	1	-3	4
11.791433892	7	-1	8
24.4802631579	6	2	4
25.3801169591	7	-1	8
16.2088452088	8	0	8
30.4527027027	2	1	1
18.2723112128	9	-7	16
17.2745424293	18	-3	21
17.1607515658	4	-4	8
18.6006825939	4	-6	10
15.1847133758	3	-2	5
17.3333333333	1	0	1
45.3611111111	5	1	4
20.417157275	18	-4	22
13.4260089686	2	0	2
26.8532110092	2	-1	3
30.1506849315	5	0	5
24.361774744	10	2	8
17.0081300813	36	-3	39
19.972972973	8	2	6
14.9380378657	5	-3	8
14.1831683168	7	-3	10
20.1115702479	8	1	7
12.7745098039	6	-7	13
24.9421965318	7	1	6
31.3203125	13	5	8
27.0462962963	5	3	2
25.2906309751	8	-2	10
25.5278969957	7	2	5
18.4084507042	5	0	5
22.369189907	43	10	33
17.8070175439	0	-1	1
20.0166666667	3	0	3
23.5778364116	11	0	11
28.8917647059	4	-4	8
14.6557692308	9	-4	13
20.25382263	24	-2	26
25.7372013652	9	4	5
17.7086956522	8	2	6
16.9016393443	3	1	2
28.2772277228	5	4	1
35.5315315315	1	0	1
17.7457627119	1	-2	3
19.2457002457	4	-9	13
17.8744588745	5	0	5
13.8898678414	3	-3	6
31.525862069	1	1	0
16.8402948403	15	-10	25
32.2259887006	6	-1	7
13.0221238938	14	-1	15
22.9255813953	10	2	8
25.7611464968	12	6	6
17.7889273356	5	-1	6
41.6328538986	60	8	52
21.1299435028	5	0	5
22.9054982818	11	-4	15
25.5982241953	22	-4	26
18.566572238	8	-2	10
17.3231788079	18	1	17
18.4575569358	7	-1	8
39.7	16	-8	24
23.3449612403	1	-1	2
24.9497206704	11	-1	12
23.9802631579	5	-1	6
17.0749279539	4	0	4
33.4813895782	14	3	11
32.8657718121	2	1	1
19.2474804031	5	-16	21
28.1684210526	18	1	17
25.0479166667	13	0	13
25.411965812	8	-6	14
13.3395061728	3	-2	5
20.3174603175	3	0	3
45.4652777778	4	0	4
21.8890756303	16	-8	24
14.7937219731	5	-1	6
31.6697247706	3	2	1
32.6577777778	4	-2	6
23.8442906574	9	-1	10
23.6020507812	52	-2	54
13.3832599119	6	1	5
12.1601362862	3	-2	5
18.2982005141	6	-4	10
22.2520661157	7	-2	9
18.7563352827	5	-8	13
17.2065217391	5	2	3
17.9709090909	2	-2	4
15.4912280702	0	0	0
33.0076335878	8	-3	11
29.8510638298	3	0	3
21.598540146	5	1	4
17.3540575916	34	0	34
16.8938053097	2	-2	4
19.0743801653	3	2	1
19.2466843501	11	-1	12
31.9342723005	23	4	19
19.9621212121	9	-4	13
16.5799595142	11	-9	20
43.2781456954	5	2	3
19.3948497854	9	0	9
21.6086956522	2	-1	3
12.7635135135	4	-1	5
8.85064935065	0	-3	3
9.88079470199	0	-3	3
18.4513184584	14	-3	17
24.2477876106	1	-2	3
31.7287128713	24	7	17
28.2056737589	3	-1	4
19.9035532995	4	-1	5
12.3930131004	3	0	3
24.0263929619	27	3	24
23.3111111111	7	2	5
38.1430976431	17	1	16
19.2389127325	10	-8	18
23.5784313725	11	3	8
21.2820512821	15	0	15
20.7004219409	16	0	16
9.6512605042	3	1	2
16.6105263158	5	3	2
18.9912280702	3	0	3
13.9055793991	7	-3	10
29.8344594595	10	3	7
49.1532258065	5	2	3
14.9375866852	2	-19	21
34.5975232198	7	0	7
47.6118598383	9	-6	15
14.6315789474	2	-1	3
59.3473053892	7	1	6
15.442791762	8	-14	22
9.41721854305	0	0	0
20.0078125	1	0	1
21.4046242775	4	2	2
39.5675332911	92	32	60
15.16875	2	-2	4
14.3890160183	3	-10	13
24.3692946058	5	-3	8
14.2331288344	3	3	0
19.4079254079	4	-10	14
13.3852459016	3	0	3
10.5670731707	2	0	2
39.9086021505	12	0	12
95.8831521739	27	10	17
7.91333333333	1	-1	2
15.4344995932	27	3	24
38.2086720867	7	-4	11
31.8718662953	16	0	16
16.3787375415	2	1	1
23.517571885	6	-1	7
15.1675749319	12	-5	17
28.576419214	6	4	2
31.3370165746	9	1	8
12.2909090909	0	-1	1
10.1214953271	4	-1	5
5.86607142857	1	-1	2
19.5666666667	11	4	7
24.4234693878	5	1	4
14.256281407	4	0	4
10.8130841121	0	-1	1
18.7611940299	18	-4	22
7.57419354839	0	-3	3
12.090443686	11	2	9
8.3641025641	2	-5	7
10.6549295775	5	2	3
9.47426470588	5	0	5
12.9207317073	25	-5	30
12.6494252874	4	-1	5
13.4561101549	6	-3	9
13.7061611374	14	-6	20
14.1812865497	7	0	7
11.0641562064	6	-3	9
9.30371900826	5	0	5
16.5249537893	9	-3	12
8.58333333333	1	-3	4
8.68623481781	8	-2	10
11.618705036	1	-2	3
11.7575757576	4	-1	5
9.09863013699	5	0	5
19.9568345324	5	2	3
8.57211538462	5	-12	17
10.2257425743	10	0	10
24.8631790744	12	3	9
13.8785714286	1	-3	4
12.8070175439	2	-1	3
32.7074829932	4	0	4
15.9038984587	11	-7	18
14.9844559585	5	0	5
9.98095238095	3	0	3
10.2532188841	4	-1	5
11.5945399393	27	-7	34
13.1959798995	3	-1	4
7.39716312057	4	-1	5
10.1325966851	8	1	7
11.5136363636	3	-1	4
12.8298319328	3	-5	8
12.6012269939	3	-1	4
14.4337899543	3	1	2
26.1793478261	7	-1	8
25.89958159	8	-5	13
12.3333333333	4	0	4
8.31060606061	3	0	3
10.0738031915	15	-10	25
19.7545454545	0	-1	1
14.8457831325	12	2	10
11.9338624339	11	6	5
9.76875	3	-7	10
12.6182618262	13	-6	19
11.4628975265	2	0	2
7.47465437788	3	0	3
7.01652892562	1	0	1
10.3055555556	1	1	0
9.49137931034	1	-2	3
23.1296296296	3	0	3
8.36476426799	1	-5	6
7.49783549784	2	-1	3
7.38095238095	1	-3	4
10.0683760684	2	0	2
10.0473421927	7	-15	22
10.8864864865	2	-2	4
8.800330033	5	-6	11
9.63677130045	2	-1	3
10.2356687898	3	-3	6
9.07692307692	6	2	4
12.013185288	21	-10	31
9.00568181818	2	-2	4
10.0981067126	5	-5	10
9.83826879271	6	-9	15
9.8433048433	5	0	5
9.27260273973	13	-1	14
16.8246346555	5	-3	8
20.8076923077	12	-8	20
7.1512605042	2	-2	4
9.26277372263	6	-7	13
13.9801324503	4	0	4
6.53216374269	3	1	2
9.11166253102	6	-3	9
16.8219178082	3	0	3
7.3625	5	-14	19
10.3923205342	9	-1	10
8.79833679834	2	-4	6
16.6672413793	7	-5	12
12.3885350318	2	-1	3
8.62601626016	1	-1	2
30.4492753623	4	0	4
14.0734323432	12	-13	25
7.63063063063	1	0	1
21.7787610619	2	-1	3
13.5565217391	2	-3	5
7.90169491525	3	-3	6
10.3248803828	19	-11	30
10.1422222222	4	-1	5
8.36130136986	6	-2	8
7.1364764268	5	-3	8
10.0772357724	5	0	5
9.79684418146	4	-4	8
8.40322580645	2	-1	3
11.1277372263	5	2	3
5.50847457627	0	0	0
11.951171875	7	3	4
9.47186147186	1	0	1
10.0827586207	4	3	1
11.1545396008	22	-4	26
13.5135135135	2	-1	3
14.5166666667	1	-1	2
12.2439678284	7	2	5
8.13513513514	10	4	6
9.21722846442	5	-3	8
16.1340839304	22	-11	33
12.6229508197	3	0	3
8.38095238095	4	1	3
7.11666666667	2	1	1
14.6545454545	2	0	2
18.7980769231	1	0	1
9.31398416887	3	-4	7
6.6563876652	3	1	2
6.83253588517	1	-3	4
12.7037037037	2	1	1
11.6546572935	10	-13	23
10.6228571429	2	1	1
7.71428571429	6	-8	14
10.3891625616	3	-3	6
12.8859060403	4	-3	7
8.45945945946	3	-1	4
14.3787878788	32	-3	35
17.04	5	1	4
11.1306715064	7	-5	12
12.5291970803	10	-9	19
12.6952662722	7	0	7
9.70948905109	11	1	10
8.97592997812	5	-2	7
10.2292020374	4	-8	12
14.7522123894	0	-3	3
16.2007722008	10	1	9
15.5486111111	3	0	3
7.2573964497	2	-2	4
15.0313315927	6	0	6
21.0148148148	1	-1	2
9.38392857143	5	-10	15
9.19591141397	9	-2	11
11.0281385281	4	-1	5
12.9205175601	3	-7	10
9.33566433566	1	-4	5
11.1610169492	0	-1	1
26.5757575758	3	0	3
14.9496676163	13	-7	20
6.45238095238	0	0	0
8.71153846154	2	1	1
10.9351851852	2	-4	6
9.8202247191	1	-4	5
8.42814070352	14	-16	30
10.4741784038	4	-2	6
8.62383612663	3	-2	5
8.06940874036	4	0	4
9.06306306306	5	3	2
10.5210084034	4	-5	9
8.89142857143	2	-2	4
7.4	1	-3	4
5.80530973451	0	0	0
14.106918239	5	-5	10
12.1198156682	3	-1	4
8.79856115108	2	0	2
11.1082337317	16	-2	18
13.2735849057	1	-1	2
10.6956521739	0	-3	3
12.3447293447	4	-2	6
9.59831460674	8	3	5
9.92682926829	3	-5	8
10.1391509434	10	-7	17
12.9233449477	4	2	2
8.77625570776	3	-2	5
24.0081300813	1	0	1
6.48181818182	2	0	2
6.23076923077	2	-1	3
6.89033942559	0	-9	9
5.6592920354	3	1	2
6.27027027027	1	-4	5
7.50909090909	1	-1	2
10.8295053004	14	-14	28
10.5813953488	2	-2	4
12.3448275862	12	-3	15
12.985645933	7	1	6
16.2025316456	3	-4	7
8.1897810219	3	-2	5
15.1168649405	32	-3	35
13.3276836158	5	1	4
14.8591800357	6	-6	12
10.514084507	4	-12	16
18.6907514451	5	-1	6
14.3926174497	15	5	10
11.863340564	6	-2	8
37.722614841	19	8	11
16.4612068966	2	-2	4
12.9553903346	10	-1	11
23.2965517241	6	3	3
11.9537572254	5	-1	6
17.4974874372	15	10	5
28.1901408451	1	0	1
8.93981481481	6	-13	19
8.70503597122	10	-2	12
15.3382663848	5	-5	10
13.3774954628	6	-6	12
14.3202614379	3	1	2
27.5966386555	5	1	4
34.8582089552	4	1	3
12.6998158379	12	-9	21
7.51162790698	1	-1	2
16.1132075472	2	1	1
17.3796296296	3	-2	5
11.852398524	5	-1	6
10.94417238	21	-14	35
8.10599078341	3	0	3
8.74354243542	3	-3	6
13.7345360825	7	-1	8
13.6764705882	5	2	3
8.44855967078	1	-7	8
9.65168539326	3	2	1
10.7490636704	3	-2	5
4.40677966102	1	0	1
21.5452631579	6	-3	9
8.81777777778	1	-3	4
18.020979021	5	1	4
8.71739130435	16	-6	22
8.97321428571	1	-1	2
20.6525423729	3	1	2
21.4175824176	14	2	12
14.3424036281	13	8	5
12.3046875	8	-5	13
11.323798627	9	-6	15
25.5429553265	3	0	3
9.88986784141	4	1	3
12.0081300813	1	-1	2
18.91	3	2	1
12.4137931034	1	-1	2
21.4272727273	1	0	1
11.5036855037	2	-5	7
10.5341880342	2	-4	6
9.88938053097	2	-3	5
14.5196078431	1	0	1
18.2033195021	10	-10	20
16.2717391304	2	-2	4
10.4218289086	9	-5	14
12.8973214286	4	0	4
23.1128526646	7	1	6
11.8626760563	4	-1	5
24.7132459971	54	12	42
14.8369565217	2	-2	4
13.352739726	8	-4	12
16.1223581758	13	-10	23
15.0702247191	6	-1	7
25.3614864865	20	2	18
15.4	4	-3	7
20.9609375	11	-6	17
8.49579831933	3	-1	4
13.05	10	1	9
18.4248366013	5	0	5
11.0057636888	4	0	4
13.3014705882	6	1	5
28.7074829932	2	0	2
10.1291053228	6	-11	17
12.0732700136	13	-4	17
14.3381443299	6	-2	8
16.9008547009	11	-2	13
9.73291925466	2	-3	5
15.6290322581	1	-1	2
20.4347826087	2	0	2
18.3821070234	10	-10	20
8.27232142857	0	0	0
10.7256637168	1	0	1
19.2969432314	3	-5	8
18.381443299	7	0	7
14.6436726927	30	-10	40
12.3114035088	3	0	3
12.8116438356	6	-4	10
13.1474201474	9	0	9
18.1336032389	7	1	6
14.4514851485	5	-5	10
11.9946236559	3	1	2
13.8905109489	3	-3	6
10.813559322	0	0	0
15.4186046512	6	-3	9
11.8412017167	2	-2	4
22.387755102	5	1	4
12.1959896507	20	-1	21
10.7787610619	0	-1	1
15.8983050847	2	-1	3
16.3607427056	9	-4	13
18.155210643	14	7	7
22.6996197719	7	-1	8
14.0232088799	14	-6	20
19.2671009772	4	0	4
18.5775862069	4	-1	5
14.8951612903	2	1	1
16.1568627451	3	0	3
15.8125	3	-2	5
20.7796610169	2	1	1
12.5514705882	1	-7	8
13.9568965517	5	1	4
10.8836206897	1	-2	3
11.8547008547	1	-1	2
14.7329498767	10	-16	26
17.7923497268	3	0	3
10.0516224189	7	-4	11
12.1919642857	4	1	3
18.1588785047	7	1	6
14.3249097473	2	-2	4
22.7341411262	41	3	38
9.88888888889	1	-1	2
11.7696245734	8	-4	12
11.140954495	7	-12	19
12.2067039106	7	-1	8
10.9033333333	8	-3	11
14.2520661157	4	-1	5
23.7320574163	9	-9	18
7.35433070866	2	-2	4
8.53610108303	5	-4	9
16.4805194805	3	1	2
12.5775862069	4	-2	6
11.5343137255	4	-1	5
13.6054421769	4	1	3
12.7820224719	6	-6	12
13.3044058745	12	-3	15
18.0473251029	4	-5	9
12.3157894737	5	-8	13
13.487654321	2	-2	4
16.1349206349	3	-1	4
30.5285714286	5	0	5
14.2034596376	10	-14	24
10.9598214286	1	0	1
15.9	0	-2	2
14.1115879828	2	-1	3
13.5709459459	4	0	4
11.9482922201	32	-5	37
11.451754386	4	-1	5
13.4896551724	4	-3	7
10.7665847666	5	-2	7
12.8709677419	4	0	4
13.9012096774	5	-5	10
10.4945652174	5	1	4
9.92	1	-2	3
16.5169491525	1	0	1
8.33333333333	4	-5	9
15.0127118644	1	-3	4
15.6530612245	3	-1	4
11.3063178047	21	-9	30
9.85714285714	0	0	0
17.4274193548	2	-1	3
16.9762532982	13	2	11
13.7795100223	13	3	10
10.7555555556	6	-6	12
14.2485089463	14	-7	21
15.5081433225	1	1	0
10.2118644068	4	-2	6
9.0	3	0	3
11.1337579618	1	-7	8
6.88461538462	2	-3	5
7.24503311258	1	-3	4
14.170212766	10	-7	17
14.4827586207	3	-1	4
8.98837209302	4	-1	5
14.2416107383	3	-2	5
18.351758794	4	0	4
7.44594594595	1	0	1
29.0737179487	25	-2	27
14.0054945055	3	0	3
14.1072026801	4	-8	12
9.90285714286	10	-4	14
13.4530744337	6	-2	8
14.1804281346	6	1	5
14.4467640919	4	-1	5
8.0	4	0	4
11.6962365591	6	-3	9
13.7787610619	1	0	1
16.5670995671	6	-2	8
12.6454849498	6	2	4
24.8139534884	0	-2	2
11.3665283541	4	-21	25
12.9185667752	10	1	9
19.3571428571	5	-6	11
15.5130434783	2	0	2
13.6	2	-1	3
16.2985074627	10	-5	15
6.8322147651	0	0	0
20.8253968254	4	2	2
16.5511363636	5	0	5
10.4575289575	13	-13	26
10.7888198758	2	-1	3
9.60714285714	3	-8	11
9.184	3	-3	6
24.5185185185	5	1	4
8.36904761905	4	-3	7
11.384	1	-2	3
13.3272727273	1	-1	2
23.0026595745	8	-2	10
15.4017857143	5	-1	6
9.84516129032	2	-2	4
8.82684670373	21	-6	27
14.0310880829	5	-4	9
16.7213114754	3	-2	5
74.5273972603	30	21	9
15.9488817891	3	0	3
11.2675675676	10	-8	18
26.3991416309	0	-1	1
13.904494382	4	-2	6
13.9454545455	1	-3	4
15.4134615385	3	-1	4
7.15178571429	1	-1	2
10.3956639566	3	-4	7
10.5721649485	4	-1	5
9.66321243523	3	0	3
11.21	1	0	1
13.6124444444	19	0	19
10.6	0	-3	3
7.60847457627	6	-5	11
8.80208333333	2	-3	5
12.9247311828	5	0	5
9.60311284047	4	-4	8
13.4795682344	20	-2	22
10.0988372093	2	-1	3
9.08159722222	6	-3	9
